url,type_boit,type_carburant,kilometrage,marke,model,puissance,price,has_abs,has_airbags,has_bluetooth_audio,has_rear_camera,has_ac,has_esp,has_alloy_wheels,has_speed_limiter,has_trip_computer,has_parking_sensor,has_cruise_control,has_leather_seats,has_gps,has_sunroof,has_remote_locking,has_power_windows
https://www.avito.ma/fr/hay_essalam/voitures_d'occasion/Fiat_Palio_Essence_Manuelle_1999_à_Safi_54847785.htm,Manuelle,Essence,300 000 - 349 999,Fiat,Palio,6 CV,27 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/hay_fath/voitures_d'occasion/volkswagen_a_vendre__54847796.htm,Automatique,Diesel,140 000 - 149 999,Volkswagen,Golf 7,8 CV,,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1
https://www.avito.ma/fr/aouama_gharbia/voitures_d'occasion/palio_mazot__2000__54847734.htm,Manuelle,Diesel,50 000 - 54 999,Fiat,Palio,7 CV,37 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/wislane/voitures_d'occasion/Toyota_Hilux__54847703.htm,Manuelle,Diesel,Plus de 500 000,Toyota,Hilux,10 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_bernoussi/voitures_d'occasion/Renault_Express_2022_54847540.htm,Manuelle,Diesel,60 000 - 64 999,Renault,Express,6 CV,125 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/khouribga/voitures_d'occasion/Mitsubishi_L200_54847672.htm,Manuelle,Diesel,120 000 - 129 999,Mitsubishi,L200,10 CV,128 000 DH,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1
https://www.avito.ma/fr/berrechid/voitures_d'occasion/fiat_tipo_3amra_n9ya_54847866.htm,Manuelle,Diesel,130 000 - 139 999,Fiat,Tipo,6 CV,93 000 DH,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
https://www.avito.ma/fr/labc/voitures_d'occasion/Mercedes_Benz_classe_220d_54847674.htm,Automatique,Hybride,10 000 - 14 999,Mercedes-Benz,220,8 CV,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/centre_ville/voitures_d'occasion/Ford_Kuga_Diesel_Manuelle_2018_à_Tétouan_54847539.htm,Manuelle,Diesel,180 000 - 189 999,Ford,Kuga,8 CV,200 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/les_princesses/voitures_d'occasion/Hyundai_ix_35_Diesel___Manuelle_2015_à_Casablanca_54847433.htm,Manuelle,Diesel,130 000 - 139 999,Hyundai,ix35,7 CV,168 000 DH,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
